Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;22;TOR;60;25;23.2;3.4;7.9;0.434;0.6;1.6;0.361;2.9;6.3;0.452;0.471;1;1.8;0.59;2.1;4.7;6.8;1.1;0.5;0.6;1.2;2.1;8.5
2;Steven Adams;C;28;MEM;66;65;26.4;2.9;5.2;0.557;0;0;0;2.9;5.2;0.559;0.557;1.5;2.7;0.547;4.7;5.2;9.9;3.3;0.8;0.8;1.6;1.9;7.2
3;Bam Adebayo;C;24;MIA;45;45;33;7.2;13.4;0.541;0;0.1;0;7.2;13.3;0.545;0.541;4.5;6;0.751;2.4;7.9;10.3;3.5;1.5;0.8;2.8;3.2;19
4;Santi Aldama;PF;21;MEM;27;0;10.3;1.4;3.6;0.381;0.1;1.4;0.103;1.2;2.1;0.569;0.402;0.4;0.7;0.6;0.9;1.5;2.4;0.5;0.1;0.3;0.3;1;3.3
5;LaMarcus Aldridge;C;36;BRK;45;12;22.8;5.6;10.1;0.554;0.3;1;0.311;5.3;9.1;0.58;0.569;2;2.3;0.873;1.6;4;5.6;0.9;0.3;1;0.9;1.6;13.5
6;Nickeil Alexander-Walker;SG;23;TOT;58;19;23.8;4.2;11.2;0.374;1.7;5.5;0.312;2.5;5.7;0.432;0.45;1.4;1.8;0.738;0.6;2.4;3;2.5;0.7;0.3;1.5;1.6;11.4
6;Nickeil Alexander-Walker;SG;23;NOP;50;19;26.3;4.7;12.6;0.375;1.9;6.1;0.311;2.8;6.5;0.434;0.45;1.4;1.9;0.722;0.7;2.6;3.3;2.8;0.8;0.4;1.7;1.8;12.8
6;Nickeil Alexander-Walker;SG;23;UTA;8;0;7.9;0.8;2.3;0.333;0.5;1.5;0.333;0.3;0.8;0.333;0.444;1.1;1.3;0.9;0.1;1.4;1.5;0.8;0.3;0.1;0.4;0.8;3.1
7;Grayson Allen;SG;26;MIL;58;57;27.6;3.9;8.9;0.432;2.5;6.2;0.401;1.4;2.7;0.503;0.571;0.9;1.1;0.857;0.5;2.8;3.3;1.6;0.8;0.3;0.6;1.5;11.1
8;Jarrett Allen;C;23;CLE;56;56;32.3;6.6;9.7;0.677;0;0.2;0.1;6.6;9.6;0.688;0.678;2.9;4.2;0.708;3.4;7.3;10.8;1.6;0.8;1.3;1.7;1.7;16.1
9;Jose Alvarado;PG;23;NOP;41;1;14;2;4.9;0.415;0.6;2;0.301;1.4;2.9;0.496;0.478;0.6;0.9;0.686;0.4;1.2;1.6;2.5;1.2;0.1;0.7;1.5;5.2
10;Justin Anderson;SF;28;TOT;6;0;12.8;1;3.2;0.316;0.5;2.5;0.2;0.5;0.7;0.75;0.395;1;1.2;0.857;0.3;1.3;1.7;1.5;0.3;0.2;0.5;1.5;3.5
10;Justin Anderson;SF;28;CLE;3;0;15.7;1.3;2.7;0.5;0.7;2;0.333;0.7;0.7;1;0.625;1;1.3;0.75;0;2;2;2;0.3;0;0.7;1.3;4.3
10;Justin Anderson;SF;28;IND;3;0;10;0.7;3.7;0.182;0.3;3;0.111;0.3;0.7;0.5;0.227;1;1;1;0.7;0.7;1.3;1;0.3;0.3;0.3;1.7;2.7
11;Kyle Anderson;PF;28;MEM;57;8;21.4;2.9;6.7;0.435;0.5;1.6;0.311;2.4;5.2;0.473;0.471;0.9;1.5;0.6;1;4.4;5.5;2.6;1.1;0.6;1;1.5;7.2
12;Giannis Antetokounmpo;PF;27;MIL;59;59;32.9;10.2;18.6;0.547;1.1;3.7;0.3;9.1;14.8;0.61;0.578;8.3;11.6;0.721;2;9.5;11.5;5.8;1.1;1.4;3.2;3.3;29.8
13;Thanasis Antetokounmpo;SF;29;MIL;41;5;9.2;1.1;2.3;0.5;0;0.3;0.091;1.1;2;0.554;0.505;0.4;0.6;0.615;0.9;1.2;2.1;0.5;0.3;0.2;0.5;1.5;2.7
14;Carmelo Anthony;PF;37;LAL;61;3;26.6;4.7;10.6;0.443;2.3;5.9;0.386;2.4;4.7;0.514;0.55;2.1;2.5;0.829;0.9;3.2;4.2;1;0.7;0.8;0.9;2.4;13.7
15;Cole Anthony;PG;21;ORL;56;56;32.6;5.8;14.7;0.396;2.1;6.3;0.34;3.7;8.4;0.438;0.469;3.5;4.1;0.856;0.5;5.1;5.6;5.7;0.8;0.3;2.7;2.7;17.3
