Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,32,Argentina,ARG,1001,Wheat and meslin.,8,Weight in kilograms,186197155,186197155,57731310,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,1001,Wheat and meslin.,8,Weight in kilograms,27503070,27503070,9682621,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,1001,Wheat and meslin.,8,Weight in kilograms,5731443,5731443,1314270,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,124,Canada,CAN,1001,Wheat and meslin.,8,Weight in kilograms,613334275,613334275,207151582,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,156,China,CHN,1001,Wheat and meslin.,8,Weight in kilograms,3094019,3094019,891706,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,1001,Wheat and meslin.,8,Weight in kilograms,27500000,27500000,6263763,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,251,France,FRA,1001,Wheat and meslin.,8,Weight in kilograms,2424130112,2424130112,605848066,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,276,Germany,DEU,1001,Wheat and meslin.,8,Weight in kilograms,466604746,466604746,116005829,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,300,Greece,GRC,1001,Wheat and meslin.,8,Weight in kilograms,12783010,12783010,3581303,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,348,Hungary,HUN,1001,Wheat and meslin.,8,Weight in kilograms,38065528,38065528,14218565,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,1001,Wheat and meslin.,8,Weight in kilograms,8240410,8240410,2382573,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,398,Kazakhstan,KAZ,1001,Wheat and meslin.,8,Weight in kilograms,29906710,29906710,9609314,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,428,Latvia,LVA,1001,Wheat and meslin.,8,Weight in kilograms,17220434,17220434,5636512,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,440,Lithuania,LTU,1001,Wheat and meslin.,8,Weight in kilograms,70746889,70746889,20774161,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,484,Mexico,MEX,1001,Wheat and meslin.,8,Weight in kilograms,160712462,160712462,81474410,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,616,Poland,POL,1001,Wheat and meslin.,8,Weight in kilograms,115319213,115319213,32786514,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,642,Romania,ROU,1001,Wheat and meslin.,8,Weight in kilograms,4952184,4952184,760432,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,643,Russian Federation,RUS,1001,Wheat and meslin.,8,Weight in kilograms,17870842,17870842,4467277,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,724,Spain,ESP,1001,Wheat and meslin.,8,Weight in kilograms,68363070,68363070,27492016,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,760,Syria,SYR,1001,Wheat and meslin.,8,Weight in kilograms,49,49,182,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,804,Ukraine,UKR,1001,Wheat and meslin.,8,Weight in kilograms,19800000,19800000,4275329,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,1001,Wheat and meslin.,8,Weight in kilograms,18720,18720,4413,0
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,842,USA,USA,1001,Wheat and meslin.,8,Weight in kilograms,537786575,537786575,181962391,0
H3,2007,2007,2007,4,0,1,Import,20,Andorra,AND,724,Spain,ESP,1001,Wheat and meslin.,8,Weight in kilograms,75630,75630,27711,0
