Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,178363035,,,,178363035,,38838536,,,0
H5,2017,2017,2017,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,946140,,,,946140,,314604,,,0
H5,2017,2017,2017,4,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,120171000,,,,120171000,,25510041,,,0
H5,2017,2017,2017,4,0,1,Import,8,Albania,ALB,688,Serbia,SRB,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,53020635,,,,53020635,,12151479,,,0
H5,2017,2017,2017,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4225260,,,,4225260,,862410,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,8079163998,,,,8079163998,,1788702358,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,14330,,,,14330,,13592,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,32,Argentina,ARG,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1557429500,,,,1557429500,,316815843,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,36,Australia,AUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,32850000,,,,32850000,,10063240,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,30719400,,,,30719400,,6166258,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,124,Canada,CAN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1324693300,,,,1324693300,,384520836,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,88420700,,,,88420700,,17711588,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,233,Estonia,EST,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,118775000,,,,118775000,,24562297,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,246,Finland,FIN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,31000500,,,,31000500,,6213315,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,251,France,FRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,3314989877,,,,3314989877,,680677215,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,251,France,FRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,14330,,,,14330,,13592,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,276,Germany,DEU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,114169500,,,,114169500,,22523703,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,100815,,,,100815,,118220,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,398,Kazakhstan,KAZ,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,10500000,,,,10500000,,2937356,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,428,Latvia,LVA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,93309500,,,,93309500,,20580873,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,440,Lithuania,LTU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,51840700,,,,51840700,,11493286,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,484,Mexico,MEX,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,62991300,,,,62991300,,19825282,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,616,Poland,POL,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,31498100,,,,31498100,,6296597,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,724,Spain,ESP,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1828610,,,,1828610,,530362,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,83500000,,,,83500000,,16818810,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,804,Ukraine,UKR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,87905746,,,,87905746,,16779569,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,842,USA,USA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,861121350,,,,861121350,,187400086,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,858,Uruguay,URY,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,181520100,,,,181520100,,36667612,,,0
H5,2017,2017,2017,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,61260,,,,61260,,16197,,,0
H5,2017,2017,2017,4,0,1,Import,20,Andorra,AND,174,Comoros,COM,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4800,,,,4800,,1304,,,0
H5,2017,2017,2017,4,0,1,Import,20,Andorra,AND,251,France,FRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,10,,,,10,,119,,,0
H5,2017,2017,2017,4,0,1,Import,20,Andorra,AND,724,Spain,ESP,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,56450,,,,56450,,14773,,,0
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,194876350,,,,194876350,,47234478,,,0
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,348,Hungary,HUN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,75000,,,,75000,,21021,,,0
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1040020,,,,1040020,,415168,,,0
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,125289270,,,,125289270,,29943106,,,0
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,688,Serbia,SRB,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,66041240,,,,66041240,,16315670,,,0
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2430820,,,,2430820,,539510,,,0
H5,2018,2018,2018,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,57955,,,,57955,,16816,,,0
H5,2018,2018,2018,4,0,1,Import,20,Andorra,AND,251,France,FRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,50,,,,50,,289,,,0
H5,2018,2018,2018,4,0,1,Import,20,Andorra,AND,724,Spain,ESP,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,57902,,,,57902,,16514,,,0
H5,2018,2018,2018,4,0,1,Import,20,Andorra,AND,826,United Kingdom,GBR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,3,,,,3,,11,,,0
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1080905060,,,,1080905060,,205968061,,,0
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,40,Austria,AUT,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,60180,,,,60180,,64051,,,0
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,269404000,,,,269404000,,50823760,,,0
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,642,Romania,ROU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,60000,,,,60000,,57785,,,0
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,809089500,,,,809089500,,154257653,,,0
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,212400,,,,212400,,111891,,,0
